REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
03538;SHORT LUNAR;SEMANA 23;LINHO WASHED PLUS P11LN0026;INVERNO 2023;;FC - INV23 SEM23 - 05/06;2
04741;MACACAO DALIA AMARRACAO;SEMANA 19;ATACAMA CHINA (AT-1909);INVERNO 2024;DALIA;FC - INV24 SEM20 - 13/05;6
05794;JAQUETA COTELE BORDADO;SEMANA 17;COTELE BORDADO;INVERNO 2025;COTELE BORDADO;FC - INV25 SEM 17 - 21/04;4
00867;BLUSA ROMANTIC;SEMANA;;VERÃO 2018;;;1
01544;SAIA MIDI BABADO;SEMANA;;INVERNO 2019;;;1
01748;MACACAO MIDI LISBOA;SEMANA;;VERÃO 2020;;;4
03165;CROPPED NORDESTE;SEMANA;;VERÃO 2023;;;9
05273;VESTIDO MIDI MARINE;SEMANA 39;RAYON 40 ESTAMPA MARINE;VERÃO 2025;MARINE;FC - VER25 SEM 44 - 28/10;1
06170;PANTALONA MODERN;SEMANA 46;PATOU NEW (RW82311);ALTO VERÃO 2026;MODERN;FC - AV26 SEM 46 - 10/11;3
00986;PANTALONA PRINCIPE DE GALES;SEMANA;;INVERNO 2018;;;1
01792;VESTIDO LONGO FOLHA POA;SEMANA;;VERÃO 2020;;;1
02625;SHORT EQUILIBRIO;SEMANA;;OFF;;;5
02799;KIMONO LART;SEMANA;;VERÃO 2022;;;1
03275;BLUSA BATIK;SEMANA 50;EST BATIK BROMELIA 987943301 LIA LUREX;VERÃO 2023;;FC - VER23 SEM50 - 12/12;1
04644;COLETE DALIA BOTOES;SEMANA 22;ATACAMA CHINA (AT-1909);INVERNO 2024;DALIA;FC - INV24 SEM20 - 13/05;9
00289;CALCA JOGGER;SEMANA;;OUTONO/INVERNO 2016;;;1
01076;MACACAO MIDI BAMBU;SEMANA;;INVERNO 2018;;;1
02084;TSHIRT LISTRA BOLSO;SEMANA;;OFF;;;2
03682;REGATA BLEND;SEMANA 13;EST BLEND;INVERNO 2023;BLEND;FC - INV23 SEM13 - 27/03;1
05800;SHORT TWEED ASPEN;SEMANA 21;TWEED LISO (RW1835);INVERNO 2025;ASPEN;FC - INV25 SEM 21 - 19/05;2
04342;CROPPED DETALHE CORRENTE;SEMANA 45;BORDEAUX CREPE AIR FLOW;VERÃO 2025;SOLEIL;FC - VER24 SEM48 - 27/11;18
00393;REGATA GUIPIR;SEMANA;;VERÃO 2017;;;2
01612;MACAQUINHO TERRARIO PB;SEMANA;;VERÃO 2020;;;1
04133;MACACAO LONGO VERDAN;SEMANA;;OUTONO/INVERNO 2016;;;0
01512;SAIA  BOTOES ANIMAL TRINT;SEMANA;;INVERNO 2019;;;1
02518;CALCA FLARE PERFECTO;SEMANA;;INVERNO 2021;;;1
03855;TSHIRT DIV  INFANTIL - 2000;BAZAR;;BAZAR 2023;;;1
06542;CAMISA CROPPED BORDADO BOLSO;SEMANA 10;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INVERNO 2026;;FC - INV26 SEM 10 - 02/03;1
04419;BERMUDA DIV 6000;BAZAR;;BAZAR 2023;;;1
06382;VESTIDO CURTO FREDDO;SEMANA 19;VISCOSE FLASH AT 2232;INVERNO 2026;FREDDO;FC - INV26 SEM 19 - 04/05;3
00575;VESTIDO LONGO PARDAL;SEMANA;;OUTONO/INVERNO 2017;;;1
03511;MACAQUINHO VITRAL;SEMANA 04;EST VITRAL BASE BROMELIA;VERÃO 2023;;FC - AV23 SEM03 - 13/03;1
05513;BLUSA ALCA DUPLA AMARANTO;CANCELADO;;INVERNO 2025;AMARANTO;;3
00666;SAIA LONGA;SEMANA;;OUTONO/INVERNO 2017;;;1
00782;PANTALONA ELASTICO;SEMANA;;VERÃO 2018;;;2
01387;CROPPED  ETNICO;SEMANA;;INVERNO 2019;;;1
04535;SAIA MINE BOTOES;SEMANA 20;TWEED XADREZ (YW56733-1);INVERNO 2024;MINE;FC - INV24 SEM20 - 13/05 ;1
04735;SHORT CANDY ALFAIATARIA;SEMANA 07;TWILL CELL SUPERSTAR 225.D05;INVERNO 2024;CANDY;FC - AV24 SEM09 - 26/02;1
03264;REGATA FRALDADA NY;CANCELADO;;VERÃO 2023;;;1
