REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
02583;CHEMISE SOLARES;SEMANA;;VERÃO 2022;;;1
02662;BLAZER NEUTRO;SEMANA;;INVERNO 2022;;;5
04504;CALCA PEACH FLARE;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
06191;VESTIDO CROPPED NUANCES;CANCELADO;;ALTO VERÃO 2026;NUANCES;;1
06723;BLAZER BOTOES BEATLINE;SEMANA 28;MARRANT LISTRA FIO TINTO AT-2336;VERÃO 2027;BEATLINE;FC - VER27 SEM 28 - 06/07;1
06929;MACACAO BASIC GOTA;SEMANA;;BAZAR FABRICA;;;1
01297;BODY FADA;SEMANA;;VERÃO 2019;;;3
02431;CALCA LINHO SUTIL;SEMANA;;OFF;;;2
04384;CROPPED MEIA TACA  RETALHO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2023;;;1
02056;CROPPED RENDA CHIQUE;SEMANA;;OFF;;;2
04086;BLUSA LINHO BOTOES;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;DREAM;;3
04949;VESTIDO MIDI INSPIRAR;SEMANA 46;LINHO CHINA (AT2314);ALTO VERÃO 2025;INSPIRAR;FC - VER25 SEM 46 - 11/11;12
00332;PANTALONA LIBERTY FLORAL;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
02714;MACAQUINHO MD LEVE;SEMANA;;OFF;;;6
02817;MACACAO JETAIME;SEMANA;;VERÃO 2022;;;1
04362;MACAQUINHO ORLY COM FAIXA;SEMANA 50;BROMELIA ESTAMPA ORLY;ALTO VERÃO 2024;ORLY;FC - VER24 SEM50 - 11/12;1
05618;REGATA DECOTE V COAST;SEMANA 13;RAYON 40 EST COAST;INVERNO 2025;COAST;FC - VER25 SEM 48 - 25/11;1
05767;VESTIDO BALONE FRESH;SEMANA 02;JALAPAO;ALTO VERÃO 2025;FRESH;FC - AV25 SEM 42 -14/10;3
00957;CROPPED LISTRA MOSTARDA;SEMANA;;INVERNO 2018;;;1
00982;VESTIDO ENVELOPE DETALHE;SEMANA;;INVERNO 2018;;;2
02099;BLAZER ATENAS;SEMANA;;VERÃO 2021;;;5
03230;KIMONO CIRANDA;SEMANA;;VERÃO 2023;;;1
04649;BOMBER VELVET BOLSOS;CANCELADO;MARRANT PEACH (AT2376);INVERNO 2024;VELVET;;4
05285;SHORT ALFAIATARIA CLEAN;SEMANA 38;MARRANT PEACH (AT2376);VERÃO 2026;CLEAN;FC - VER25 SEM 46 - 11/11;6
00613;REGATA DEBRUM PIRAMIDE;SEMANA;;OUTONO/INVERNO 2017;;;1
01280;CROPPED FLOWER;SEMANA;;OFF;;;3
01934;SAIA LAPELA ALFAIATARIA;SEMANA;;OFF;;;2
05330;SHORT HOLIDAY;SEMANA 45;VISCOSE ESSENCIAL ARW800098;ALTO VERÃO 2025;HOLIDAY;;1
05387;SAIA CURTA SUMMER;CANCELADO;MARANT NATURE SUMMER (BETA);VERÃO 2025;NEW SUMMER;;4
05417;BLUSA GRID BASIC;SEMANA 18;MARRANT EST GRID AT-2080;INVERNO 2025;GRID;FC - INV25 SEM 18 - 28/04;1
06939;CANGA SONAR;SEMANA 32;MARROCAINE EST SONAR PW80136-27;VERÃO 2027;SONAR;FC - VER27 SEM 32 - 03/08;1
00910;CONJUNTO LILLY;SEMANA;;VERÃO 2018;;;2
01806;PANTALONA PESPONTO;SEMANA;;VERÃO 2020;;;2
02241;SAIA ATEMPORAL;SEMANA;;OFF;;;5
02774;CROPPED ART DECO;SEMANA;;OFF;ART DECO;;2
02991;BLUSA ORLA;SEMANA;;INVERNO 2022;ORLA;;1
03271;SAIA MD BATIK;SEMANA 50;EST BATIK BROMELIA 987943301 LIA LUREX;VERÃO 2023;;FC - VER23 SEM50 - 12/12;1
04297;MACACAO SURI DECOTE COSTAS;SEMANA 43;BROMELIA ESTAMPA SURI;VERÃO 2024;SURI;FC - VER24 SEM43 - 23/10;1
00174;ALCINHA BARRA PLISSADA;SEMANA;;OUTONO/INVERNO 2016;;;1
00486;VESTIDO LIBERTY MINIMAL;SEMANA;;VERÃO 2017;;;1
01587;REGATA LISTRA MUSGO;SEMANA;;INVERNO 2019;;;1
02915;SHORT ORGANICO;SEMANA;;OFF;;;7
01600;TOP CONSTELACAO;SEMANA;;OFF;;;1
06046;CALCA CURTA SERENO;SEMANA 13;MARANT CHINA;INVERNO 2025;SERENO;;2
00283;BLUSA MAXI GOLA;SEMANA;;OUTONO/INVERNO 2016;;;1
01278;CROPPED FLOWER;SEMANA;;VERÃO 2019;;;1
01984;BLUSA MOLDURA TRIM;SEMANA;;OFF;;;10
04531;MACACAO CELESTE DECOTE TRANSPASSE;SEMANA 19;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;;1
04582;BLUSA LOLA CAMADAS;SEMANA 05;ESTAMPA LOLA;INVERNO 2024;LOLA;FC - AV24 SEM02 - 02/01;1
05973;CAMISA BASIC ALGODAO;SEMANA 18;TRICOLINE;CONTINUO;CHAMONIX;FC - INV25 SEM 18 - 28/04;1
00048;CALCA PANTALONA;SEMANA;BOTAO CASQUINHA MADREPEROLA (18);OUTONO/INVERNO 2016;;F_DIA DOS NAMORADOS;3
00371;BLUSA 2/4;SEMANA;;VERÃO 2017;;;27
01407;CALCA FLARE;SEMANA;;OFF;;;2
01956;PANTACOURT LAVANDA;SEMANA;;OFF;;;2
04819;VESTIDO LONGO COLORIR;SEMANA 28;CAMEL ESTAMPA COLORIR;VERÃO 2025;COLORIR;FC - VER25 SEM 31 - 29/07;1
05798;VESTIDO INFANTIL NEW GLOW;SEMANA 18;RAYON 40 EST NEW GLOW;INVERNO 2025;NEW GLOW;FC - INV25 SEM 18 - 28/04;2
03266;CROPPED SELF;SEMANA 04;LASTEX 12X500;ALTO VERÃO 2023;;FC - AV23 SEM01 - 02/01;3
04983;VESTIDO MIDI BRUMA;SEMANA 45;TRICOLINE 3199;VERÃO 2025;BRUMA;FC - VER25 SEM 42 - 14/10;12
05913;PANTALONA COS ELASTICO HORIZONTE;SEMANA 38;VISCOSE ESSENCIAL ARW800098;VERÃO 2026;HORIZONTE;FC - VER26 SEM 38 - 15/09;3
01539;VESTIDO TUBINHO TRICOT;SEMANA;;INVERNO 2019;;;1
04451;VESTIDO LONGO JOLIE;SEMANA 07;VISCOSE TWILL;INVERNO 2024;JOLIE;FC - AV24 SEM02 - 02/01;12
04650;BLUSA WISH MANGA BUFANTE;SEMANA 19;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2024;WISH;FC - INV24 SEM19 - 04/05;9
05462;SHORT SNOW COM PASSADOR;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;INVERNO 2025;SNOW;;1
05680;CAMISA CROPPED CHATEAU;SEMANA 13;TRICOLINE MILANO 3547;INVERNO 2025;CHATEAU;FC - INV25 SEM 13 - 24/03;3
00609;CROPPED BOTOES;SEMANA;;OUTONO/INVERNO 2017;;;1
02166;VESTIDO LONGO PREMIUM;SEMANA;;OFF;;;6
02539;VESTIDO CURTO POA NUDE;SEMANA;;OFF;;;1
02805;SHORT GODE FRANCE;SEMANA;;OFF;;;6
04987;BLUSA PEPLUM BRUMA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;BRUMA;;1
06190;SHORT NUANCES;CANCELADO;;ALTO VERÃO 2026;NUANCES;;1
01196;VESTIDO LONGO FRESH;SEMANA;;VERÃO 2019;;;1
01270;REGATA FLOWER;SEMANA;;VERÃO 2019;;;2
01354;TOP LISTRAS;SEMANA;;VERÃO 2019;;;1
02976;BLAZER SINTONIA;SEMANA;;VERÃO 2022;;;1
05311;SAIA MIDI FELICITA LAISE;SEMANA 47;ALGODAO BORDADO DOTS CHINA (EW5585-03);ALTO VERÃO 2025;FELICITA;FC - VER25 SEM 45 - 04/11;1
05369;COLETE LINEN BOTAO NATURE;SEMANA 35;LINNEN STRECH ESSENCIAL;VERÃO 2025;NATURE;FC - VER25 SEM 35 - 26/08;9
06276;MACACAO LATTE;SEMANA 23;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;LATTE;FC - INV26 SEM 23 - 01/06;2
02376;CALCA GRACE;SEMANA;;INVERNO 2021;;;4
02726;TOP CHERIE;SEMANA;;VERÃO 2022;;;1
04525;VESTIDO LONGO ESMERALDA;SEMANA 10;MARROCAINE ESTAMPA ESMERALDA (PW80136-6);INVERNO 2024;ESMERALDA;FC - INV24 SEM11 - 11/03;1
06370;VESTIDO CROPPED BLEND;SEMANA 10;LINHO C/ VISCOSE BRW310201;INVERNO 2026;BLEND;FC - INV26 SEM 10 - 02/03;3
06450;SHORT CURTO MOGGIANA;CANCELADO;;INVERNO 2026;MOGGIANA;;1
00606;REGATA PB;SEMANA;;OUTONO/INVERNO 2017;;;1
01191;PANTALONA BOTANICA;SEMANA;;VERÃO 2019;;;1
02325;SAIA ZEN;SEMANA;;INVERNO 2021;;;1
03651;SHORT ELEGANCE;SEMANA 46;EST ELEGANCE BASE PARISE;VERÃO 2023;;FC - VER23 SEM45 - 07/11;1
05442;PANTALONA CARGO NEW RISCA;SEMANA 11;MARRANT EST NEW RISCA AT 2336;INVERNO 2025;NEW RISCA;FC - INV25 SEM 11 - 10/03;3
06362;SHORT ESSENCE;SEMANA 34;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2027;ESSENCE;FC - VER27 SEM 34 - 17/08;4
03672;VESTIDO CURTO GLAM;SEMANA 49;EST GLAM BASE BROMELIA - INATIVO;ALTO VERÃO 2023;;FC - VER23 SEM49 - 05/12;1
04434;VESTIDO SAUER CAMADAS;SEMANA 49;PATOU CHINA AT2302;ALTO VERÃO 2024;SAUER;FC - VER24 SEM49 - 04/12;9
04527;COLETE RISCA DE GIZ;SEMANA 21;ALFAIATARIA RISCA GIZ(ADS220418-2);INVERNO 2024;RISCA DE GIZ;FC - INV24 SEM11 - 11/03;4
04967;MACACAO VELVET;SEMANA 28;MARRANT PEACH (AT2376);ALTO VERÃO 2025;VELVET;FC - INV24 SEM21 - 20/04;16
06379;BLUSA FREDDO;SEMANA 19;VISCOSE FLASH AT 2232;INVERNO 2026;FREDDO;FC - INV26 SEM 19 - 04/05;3
01933;CALCA FLARE SAFARI;SEMANA;;OFF;;;2
04018;VESTIDO CURTO EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM40 - 02/10;2
00280;CALCA SKINNY;SEMANA;;OUTONO/INVERNO 2016;;;1
02252;VESTIDO LG BOSSA;SEMANA;;VERÃO 2021;;;4
02845;KIMONO FREE;SEMANA;;VERÃO 2022;;;1
04244;REGATA BLANCHE ALCA LARGA;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM32 - 07/08;1
04653;CROPPED SUBLIME DETALHE ALCA;SEMANA 38;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2025;SUBLIME;FC - VER25 SEM 32 - 05/08;16
05585;CROPPED AMETISTA CAMADAS;SEMANA 39;LINHO CARIBE;VERÃO 2025;AMETISTA;FC - VER25 SEM 37- 09/09;4
05801;BLAZER GEADA;SEMANA 16;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;GEADA;FC - INV25 SEM 16 - 14/04;1
06066;VESTIDO CROPPED CIANINHA;SEMANA 27;VISCOSE ESSENCIAL ARW800098;VERÃO 2026;BOREAL;FC - VER26 SEM 27 - 01/07;2
00521;REGATA TULIPA;SEMANA;;OUTONO/INVERNO 2017;;;1
00539;BLUSA 1/4 BOTOES QUADRICULADA;SEMANA;;OUTONO/INVERNO 2017;;;1
00985;MACACAO PRINCIPE DE GALES;SEMANA;;INVERNO 2018;;;1
01042;CROPPED NEW;SEMANA;;INVERNO 2018;;;1
01518;VESTIDO MIDI ANIMAL PRINT;SEMANA;;INVERNO 2019;;;1
04802;VESTIDO CURTO REGATA;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
00900;CAMISARIA AJOUR;SEMANA;;VERÃO 2018;;;1
05181;SAIA PAREO SCARLET;SEMANA 42;PRIME SUPREME ESTAMPA SCARLET;VERÃO 2025;SCARLET;FC - VER25 SEM 42 - 14/10;1
05979;VESTIDO CROPPED LAISE;CANCELADO;ALGODAO BORDADO DOTS CHINA (EW5585-03);VERÃO 2026;;;3
06024;BLUSA DETALHE MANGA TELA;SEMANA 41;ESTAMPADO LOSANGO PW30701;ALTO VERÃO 2026;TELA;FC - VER26 SEM 41 - 06/10;1
01277;REGATA SIDERAL;SEMANA;;VERÃO 2019;;;2
04200;VESTIDO FLORESCER DECOTE BUSTO;SEMANA 39;PARISE ESTAMPA FLORESCER(H9803 EA0005);VERÃO 2024;FLORESCER;FC - VER23 SEM37 - 11/09;1
06142;VESTIDO CROPPED GALERIA BABADOS;SEMANA 39;ESTAMPA CHIFFON POA PW500121-1;VERÃO 2026;GALERIA;FC - VER26 SEM 38 - 15/09;1
03187;CROPPED TERRA;SEMANA;;INVERNO 2022;;;3
02888;VESTIDO MD ORGANICO;SEMANA;;INVERNO 2022;;;6
03912;VESTIDO LONGO OASIS;SEMANA 20;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM23 - 05/06;2
05343;SHORT CARMEL COLOR;SEMANA 45;CARMEL CREPE AIR FLOW;ALTO VERÃO 2025;CARMEL;FC - VER25 SEM 45 - 04/11;16
06856;SHORT SUMMER PARTY;SEMANA 36;CREPE IPANEMA EST SUMMER PARTY;VERÃO 2027;SUMMER PARTY;FC - VER27 SEM 36 - 01/09;1
01284;REGATA LIBERTY ORIENTE;SEMANA;;VERÃO 2019;;;1
01955;CALCA CENOURA LAVANDA;SEMANA;;OFF;;;3
02132;TOP TULIPA VERMELHO;SEMANA;;OFF;TULIPA VERMELHO;;1
02137;TOP TULIPA PB;SEMANA;;OFF;TULIPA PB;;1
04866;REGATA NO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
00504;MAXI CARDIGAN;SEMANA;;OUTONO/INVERNO 2017;;;2
00674;MACACAO LISTRA BANDEIRA;SEMANA;;OUTONO/INVERNO 2017;;;1
01448;REGATA PB;SEMANA;;OFF;;;1
01642;MACACAO MIDI LA BELLE;SEMANA;;VERÃO 2020;;;1
02889;PANTALONA LAPA;SEMANA;;VERÃO 2023;;;16
03244;REGATA ALEGRIA;CANCELADO;;VERÃO 2023;;;1
04312;CROPPED VERANO DETALHE MANGA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;VERANO;;3
05429;TOP RECORTES CAMINHAR;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2026;CAMINHAR;;3
05693;BLUSA HIBISCO;SEMANA 21;MARROCAINE RW80136-1;INVERNO 2025;HIBISCO;FC - INV25 SEM 21 - 19/05;4
06134;SHORT ESTAMPA NARA;SEMANA 45;BROMELIA GLOW NARA 00S328;ALTO VERÃO 2026;NARA;FC - AV26 SEM 45 - 03/11;1
00362;REGATA FREE MARGARIDA;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
01660;BLUSA JARDIM PB;SEMANA;;VERÃO 2020;;;1
0280102;CALCA CARGO ONDAS;SEMANA;;VERÃO 2025;;;1
03512;PANTALONA VITRAL;SEMANA 04;EST VITRAL BASE BROMELIA;ALTO VERÃO 2023;;FC - AV23 SEM03 - 13/03;1
04023;SHORT SAIA ALFAIATARIA;SEMANA 37;TARSILA ECOIMA;VERÃO 2024;SOLARIS;FC - VER24 SEM32 - 07/08;9
04499;CROPPED TSHIRT PEACH RETILINEA;CANCELADO;MARRANT PEACH (AT2376);INVERNO 2024;PEACH;;3
07151;SHORT BASE;SEMANA 49;;ALTO VERÃO 2027;BASE;;3
02890;BLUSA ORGANICO;SEMANA;;OFF;;;7
06711;MACAQUINHO AMARRACAO COMPASS;SEMANA 36;VISCOSE ESSENCIAL ARW800098;VERÃO 2027;COMPASS;FC - VER27 SEM 36 - 01/09;2
00902;VESTIDO LONGO AJOUR;SEMANA;;VERÃO 2018;;;1
01712;CROPPED JARDIM SOLAR;SEMANA;;VERÃO 2020;;;1
02262;TOP RAIZ;SEMANA;;OFF;;;2
02801;MACACAO MD LART;SEMANA;;VERÃO 2022;LART;;1
00114;TOP TIRAS;SEMANA;;VERÃO 2018;;;2
00266;BODY DECOTE;SEMANA;;OUTONO/INVERNO 2016;;;2
03002;VESTIDO SERENA;SEMANA;;INVERNO 2022;;;3
03401;CALCA PREGA SKY;SEMANA;;VERÃO 2023;;;1
03750;CALCA HONNEY;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
03907;BLUSA ELECTRO;SEMANA 22;EST ELECTRO BASE CHALLIS FLORENCE;INVERNO 2023;ELECTRO;FC - INV23 SEM24 - 12/06;1
03995;VESTIDO ALGODAO BORDADO CURTO;SEMANA 35;BORDADO VINTTAGE CHINA;VERÃO 2024;VINTAGE;FC - VER24 SEM32 - 07/08;4
04002;PANTALONA PREGAS;SEMANA 30;BORDEAUX CREPE AIR FLOW;ALTO VERÃO 2024;SOLEIL;FC - INV23 SEM 30- 24/07 ;5
05510;VESTIDO LONGO DOTS FOIL;SEMANA 49;MARROCAINE FOIL;ALTO VERÃO 2025;DOTS FOIL;FC - VER25 SEM 49 - 02/12;9
06624;PANTALONA LUNGO;SEMANA 16;PURO LINHO MYKONOS P11LN0118;INVERNO 2026;LUNGO;FC - INV26 SEM 16 - 13/04;3
03277;REGATA MOSCOU;SEMANA;;VERÃO 2023;;;9
04163;VESTIDO LONGO PARIS;SEMANA;;OUTONO/INVERNO 2016;;;0
04500;REGATA PEACH;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
03469;CALCA TROPICAL;SEMANA 42;ETIQUETA INTERNA (PP);VERÃO 2023;TROPICAL;FC - VER23 SEM42 - 20/10;1
05682;SHORT ALFAIATARIA FLORENCA;SEMANA 19;TWEED LUREX FLORENCA;INVERNO 2025;FLORENCA;FC - INV25 SEM 22 - 26/05;1
06400;VESTIDO CURTO RAFFINATO;SEMANA 18;MARROCAINE EST ANIMAL PRINT PW80136;INVERNO 2026;RAFFINATO;FC - INV26 SEM 18 - 27/04;1
06706;SAIA CROPPED TUNE;SEMANA 32;ALFAIATARIA SOHO (RW54958);VERÃO 2027;TUNE;FC - VER27 SEM 32 - 03/08;2
00524;CHEMISE PONTILHISMO;SEMANA;;OUTONO/INVERNO 2017;;;1
02520;SHORT NATURE;SEMANA;;OFF;;;7
03168;CALCA CARCARA;SEMANA;INATIVO;VERÃO 2023;;;6
03671;CROPPED GLAM;SEMANA 49;EST GLAM BASE BROMELIA - INATIVO;ALTO VERÃO 2023;;FC - VER23 SEM49 - 05/12;2
00401;CALCA CLASSIC;SEMANA;;VERÃO 2017;;;3
01999;CONJUNTO PIJAMA;SEMANA;;VERÃO 2020;;;1
01754;VESTIDO LONGO BOLSO;SEMANA;;VERÃO 2020;;;2
02334;REGATA ORIGEM;SEMANA;;INVERNO 2021;;;1
04164;VESTIDO LONGO INVERNO;SEMANA;;OUTONO/INVERNO 2016;;;0
04648;SHORT CLOCHARD DALIA;SEMANA 22;ATACAMA CHINA (AT-1909);INVERNO 2024;DALIA;FC - INV24 SEM20 - 13/05;9
01648;CROPPED COOL;SEMANA;;OFF;;;2
02353;BODY NATURAL;SEMANA;;INVERNO 2021;;;1
02369;PANTALONA INFINITO;SEMANA;;INVERNO 2021;;;1
04157;VESTIDO LONGO ASTRAL;SEMANA;;OUTONO/INVERNO 2016;;;0
06277;BLUSA MANGAS LATTE;SEMANA 23;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;LATTE;FC - INV26 SEM 23 - 01/06;3
01763;VESTIDO CURTO ETNIAS;SEMANA;;VERÃO 2020;;;1
01912;CONJUNTO PEROLAR;SEMANA;;OFF;;;2
03736;VESTIDO LONGO IKAT;SEMANA 15;EST IKAT BASE BROMELIA;INVERNO 2023;IKAT;FC - INV23 SEM15 - 10/04;1
04966;OVERTOP VELVET COM FAIXA;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;VELVET;FC - INV24 SEM21 - 20/04;16
06854;CALCA SUMMER PARTY;SEMANA 36;CREPE IPANEMA EST SUMMER PARTY;VERÃO 2027;SUMMER PARTY;FC - PECA FOTO - VER27;1
01950;CROPPED ALFAIATARIA;SEMANA;;OFF;;;5
02148;VESTIDO MIDI TULIPA PB;SEMANA;;VERÃO 2021;;;1
02167;VESTIDO LG ANDROS;SEMANA;;OFF;;;4
04887;VESTIDO LONGO LIVING DETALHE BUSTO;SEMANA 31;PATOU CHINA AT2302;VERÃO 2025;LIVING;;4
05858;VESTIDO CURTO BALONE POETIC;SEMANA 39;TRICOLINE MILANO 3547;VERÃO 2026;POETIC;FC - VER26 SEM 38 - 15/09;3
05874;BLUSA DETALHE ASSIMETRICO CULTURAL;SEMANA 39;ALFAIATARIA SOHO (RW54958);INTERMEDIÁRIA;CULTURAL;FC - VER26 SEM 39 - 22/09;3
06239;BLUSA GRAVURA;CANCELADO;MARROCAINE EST PW80136;ALTO VERÃO 2026;GRAVURA;;1
07032;PANTALONA PASSION;SEMANA 45;;ALTO VERÃO 2027;PASSION;;1
02048;MACACAO CRETA;SEMANA;;OFF;;;4
03092;BLUSA CORDEL;SEMANA;;INVERNO 2022;;;7
04909;CALCA NUT DETALHE AMARRACAO;CANCELADO;RAYON 40 EST NUT;VERÃO 2025;NUT;;1
07126;VESTIDO CROPPED VIBRANTE;SEMANA 47;;ALTO VERÃO 2027;VIBRANT;;3
04411;CALCA JOGGER SAUER;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2024;SAUER;;3
00563;BLUSA 2/4 ORIGAMI;SEMANA;;OUTONO/INVERNO 2017;;;1
02618;VESTIDO MD SUAVE;SEMANA;;VERÃO 2022;;;1
02638;PANTALONA LEVE;SEMANA;;OFF;;;4
02444;TSHIRT KIDS INTENSE;SEMANA;;OFF;;;1
03952;JAQUETA TROPICO;SEMANA 32;MARANT CHINA;VERÃO 2024;TROPICO;FC - INV23 SEM29 - 17/07;4
04354;VESTIDO LONGO DETALHE ALCA;SEMANA 45;FIRENZE CHINA;VERÃO 2025;JARDIM;FC - VER24 SEM46 - 13/11;9
05270;VESTIDO LONGO MIX BABADOS;SEMANA 36;MARROCAINE LISO AT2374PD;ALTO VERÃO 2025;ENSEADA;FC - VER25 SEM 43 - 21/10;25
02694;TOP FREE;SEMANA;;VERÃO 2022;;;1
03954;BODY RELICARIO;SEMANA 32;FIRENZE CHINA;VERÃO 2024;RELICARIO;FC - VER24 SEM32 - 07/05;4
04462;REGATA JOLIE BABADOS;SEMANA 07;VISCOSE TWILL;INVERNO 2024;JOLIE;FC - AV24 SEM02 - 02/01;12
04508;CALCA LONDON SLIM;SEMANA 28;ALFAIATARIA SOHO (RW54958);VERÃO 2025;LONDON;FC - INV24 SEM15 - 08/04;6
05296;CROPPED LOVELY TRANSPASSE;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2025;LOVELY;;1
05305;BLUSA BOTOES ABERTURA FRENTE;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;HOLIDAY;;4
01091;BLAZER PONTAS;SEMANA;;INVERNO 2018;;;1
03888;CROPPED STYLE;SEMANA 25;TECIDO VERMONT CHINA RW55406-1;INVERNO 2023;;FC - INV23 SEM24 - 12/06;3
06112;PANTALONA NARA;SEMANA 45;BROMELIA GLOW NARA 00S328;ALTO VERÃO 2026;NARA;FC - AV26 SEM 45 - 03/11;1
00409;BLUSA GOLINHA;SEMANA;;VERÃO 2017;;;1
02526;PARKA SOFT;SEMANA;;OFF;;;2
03769;CAMISA YANG;SEMANA 18;EST YANG BASE BROMELIA;INVERNO 2023;YANG;FC - INV23 SEM18 - 01/05;1
04176;CROPPED PEROLA;SEMANA 42;ALFAIATARIA MARRANT 20038 - ACT;VERÃO 2024;PEROLA;;9
05626;VESTIDO MIDI PREGAS;SEMANA 15;TRICOLINE COM ELASTANO P11NM0041;CONTINUO;COTTON;FC - INV25 SEM 20 - 12/05;22
06876;BLUSA LISTRAS STRIKE;SEMANA 40;TRICOLINE BORDADA FOLHAGEM 150017-39;VERÃO 2027;STRIKE;;1
01554;MACAQUINHO SHORT SAIA;SEMANA;;INVERNO 2019;;;1
04726;BLUSA BASICA MEIA MANGA;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2024;;;1
05607;MACACAO RECORTE VANILA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;VANILA;;1
05700;VESTIDO LONGO REFLEXOS;SEMANA 07;MAQUINETADO LISBOA;INVERNO 2025;REFLEXOS;FC - AV25 SEM 04 -25/01;1
01538;PANTALONA ENSEADA;SEMANA;;OFF;;;4
01756;PANTALONA TRACOS;SEMANA;;VERÃO 2020;;;1
03306;CAMISA POESIA;SEMANA;;VERÃO 2023;POESIA;;1
04015;VESTIDO MIDI EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;;1
04997;MACACAO ALFAIATARIA AQUARELA;SEMANA 28;ATACAMA CHINA (AT-1909);VERÃO 2027;AQUARELA;FC - VER27 SEM 28 - 06/07;1
05355;SHORT FIESTA;SEMANA 46;ESTAMPA FIESTA BROMELIA GLOW 00S328;ALTO VERÃO 2025;FIESTA;FC - VER25 SEM 46 - 04/11;1
06593;SAIA CROPPED;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;1
00274;BLUSA MOLETINHO MESCLA;SEMANA;;OUTONO/INVERNO 2016;;;1
00498;VESTIDO MIDI AMORA;SEMANA;;OUTONO/INVERNO 2017;;;1
01759;MACAQUINHO TRACOS;SEMANA;;OFF;;;1
05626;VESTIDO MIDI PREGAS;SEMANA 15;TRICOLINE COM ELASTANO P11NM0041;CONTINUO;COTTON;;44
02826;CROPPED SOLEIL;SEMANA 48;;OFF;SOLEIL;;1
04009;MACACAO EST CERRADO;SEMANA 32;EST CERRADO BASE NATHALY;VERÃO 2024;CERRADO;FC - INV23 SEM28 - 10/07;2
00610;VESTIDO LINHO CLEAN;SEMANA;;OUTONO/INVERNO 2017;;;1
02546;VESTIDO CURTO MINIMALISTA;SEMANA;;INVERNO 2021;;;1
02706;MACAQUINHO LOVELY;SEMANA;;VERÃO 2022;;;1
0280209;MACACAO CARGO LISO MIX;SEMANA;;VERÃO 2025;;;0
04166;VESTIDO LONGO TULIPA;SEMANA;;OUTONO/INVERNO 2016;;;0
04382;REGATA  RETALHO;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2023;;;1
04812;BLAZER SUNNY;SEMANA 32;ATACAMA POLY SPAN;VERÃO 2025;SUNNY;FC - VER25 SEM 30 - 22/07;4
06850;BLUSA TOUR MULTI;SEMANA 32;MARROCAINE RW80136-1;VERÃO 2027;TOUR;FC - PECA FOTO - VER27;3
03116;CALCA AGRESTE;SEMANA;;INVERNO 2022;AGRESTE;;1
05545;SHORT PREGAS CASTLE;SEMANA 21;XADREZ FIO TINTO YW77235;INVERNO 2025;CASTLE;FC - INV25 SEM 21 - 19/05;1
06017;BLAZER BOTOES ICONE;CANCELADO;;INTERMEDIÁRIA;ICONE;;4
06722;BLUSA CORSET BEATLINE;SEMANA 28;MARRANT LISTRA FIO TINTO AT-2336;VERÃO 2027;BEATLINE;FC - VER27 SEM 28 - 06/07;1
07133;VESTIDO CROPPED VIBE;SEMANA 49;;ALTO VERÃO 2027;VIBE;;3
